ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block
230,0.01639733,60.42233,eye closed,False,0
231,0.01659531,60.84907,eye closed,False,0
232,0.01699194,60.82452,eye closed,False,0
233,0.01611266,60.54633,eye closed,False,0
234,0.01690387,59.41504,eye closed,False,0
235,0.01622905,56.39228,eye closed,False,0
236,0.016568,54.01384,eye closed,False,0
237,0.01719776,53.18556,eye closed,False,0
238,0.01596964,52.7879,eye closed,False,0
239,0.01653147,53.02938,eye closed,False,0
240,0.01656561,52.88,eye closed,False,0
241,0.01687042,51.90701,eye closed,False,0
242,0.01626319,50.35783,eye closed,False,0
243,0.01672399,48.64962,eye closed,False,0
244,0.01699978,46.85765,eye closed,False,0
245,0.01600753,45.20095,eye closed,False,0
246,0.01653489,44.39903,eye closed,False,0
247,0.01656698,eye closed,eye closed,False,0
248,0.01656663,42.4007,eye closed,False,0
249,0.01656698,41.85283,eye closed,False,0
250,0.01673798,eye closed,eye closed,False,0
251,0.01639597,eye closed,eye closed,False,0
252,0.01658472,eye closed,eye closed,False,0
253,0.01699432,eye closed,eye closed,False,0
254,0.01612017,eye closed,eye closed,False,0
255,0.01656663,eye closed,eye closed,False,0
256,0.01730494,eye closed,eye closed,False,0
257,0.01598056,eye closed,eye closed,False,0
258,0.0164144,eye closed,eye closed,False,0
259,0.01657687,eye closed,eye closed,False,0
260,0.01655673,eye closed,eye closed,False,0
261,0.01656663,eye closed,eye closed,False,0
262,0.01656629,eye closed,eye closed,False,0
263,0.01656834,eye closed,eye closed,False,0
264,0.01674652,eye closed,eye closed,False,0
265,0.01638675,eye closed,eye closed,False,0
266,0.01657414,28.21847,30.12746,False,0
267,0.01700764,28.43129,28.17793,False,0
268,0.01611812,28.06676,26.60803,False,0
269,0.01686735,27.69247,26.14817,False,0
270,0.01699569,27.91661,28.13327,False,0
271,0.01599456,eye closed,eye closed,False,0
272,0.01640791,eye closed,eye closed,False,0
273,0.01659804,eye closed,eye closed,False,0
274,0.01653489,eye closed,eye closed,False,0
275,0.01656663,eye closed,eye closed,False,0
276,0.01685199,eye closed,eye closed,False,0
277,0.01700013,eye closed,eye closed,False,0
278,0.01599149,eye closed,eye closed,False,0
279,0.01699501,42.8018,43.1301,False,0
280,0.01599592,40.41095,40.64248,False,0
281,0.01656629,38.16602,38.10582,False,0
282,0.01656766,35.59823,35.34763,False,0
283,0.01686359,33.31971,32.3912,False,0
284,0.01626933,30.74107,29.50975,False,0
285,0.01671716,28.12246,27.21907,False,0
286,0.01641645,31.5046,31.51693,False,0
287,0.0165779,36.57737,38.9168,False,0
288,0.01655434,37.05067,39.75249,False,0
289,0.01656834,34.36152,35.7805,False,0
290,0.01684584,31.31537,32.12266,False,0
291,0.01628708,27.80895,28.77107,False,0
292,0.01670487,24.46898,24.87566,False,0
293,0.01642805,21.93737,22.76948,False,0
294,0.01657175,26.61188,28.5806,False,0
295,0.01699467,26.30412,29.5527,False,0
296,0.01698272,24.71031,27.94263,False,0
297,0.01599592,21.8351,24.40971,False,0
298,0.01699194,19.46097,21.0906,False,0
299,0.01586246,17.60914,18.1424,False,0
300,0.01712676,14.20032,14.59849,False,0
301,0.01600889,12.05091,12.4985,False,0
302,0.0165639,9.955127,10.21791,False,0
303,0.01656629,8.338777,8.458374,False,0
304,0.01656732,8.992806,8.003712,False,0
305,0.01656663,9.530174,8.674166,False,0
306,0.01669293,9.248008,10.02278,False,0
307,0.01644068,8.980345,9.995935,False,0
308,0.01656732,8.849087,9.959985,False,0
309,0.01698306,8.891079,10.50882,False,0
310,0.01615157,9.033463,10.64178,False,0
