ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
149,0.03210347,eye closed,eye closed,,,Not looking at Target
150,0.01688067,eye closed,eye closed,,,Not looking at Target
151,0.01625364,eye closed,eye closed,,,Not looking at Target
152,0.01674311,eye closed,eye closed,,,Not looking at Target
153,0.01639188,eye closed,eye closed,,,Not looking at Target
154,0.0165919,eye closed,eye closed,,,Not looking at Target
155,0.01699228,eye closed,eye closed,,,Not looking at Target
156,0.01699296,eye closed,eye closed,,,Not looking at Target
157,0.01600105,eye closed,eye closed,,,Not looking at Target
158,0.01625466,eye closed,eye closed,,,Not looking at Target
159,0.01656562,eye closed,eye closed,,,Not looking at Target
160,0.01656835,eye closed,eye closed,,,Not looking at Target
161,0.01658575,eye closed,eye closed,,,Not looking at Target
162,0.01699672,eye closed,eye closed,,,Not looking at Target
163,0.01611574,eye closed,eye closed,,,Not looking at Target
164,0.01687077,eye closed,eye closed,,,Not looking at Target
165,0.01626319,eye closed,eye closed,,,Not looking at Target
166,0.01673287,eye closed,eye closed,,,Not looking at Target
167,0.01640007,eye closed,eye closed,,,Not looking at Target
168,0.01658678,eye closed,eye closed,,,Not looking at Target
169,0.01654616,eye closed,eye closed,,,Not looking at Target
170,0.0165663,eye closed,eye closed,,,Not looking at Target
171,0.01687145,59.13646,eye closed,,,Not looking at Target
172,0.01700491,58.89574,eye closed,,,Not looking at Target
173,0.01598501,58.65872,eye closed,,,Not looking at Target
174,0.01640587,58.49783,eye closed,,,Not looking at Target
175,0.01657927,58.39249,eye closed,,,Not looking at Target
176,0.01699399,58.3234,eye closed,,,Not looking at Target
177,0.01612666,58.27396,eye closed,,,Not looking at Target
178,0.01687418,58.2135,eye closed,,,Not looking at Target
179,0.01626012,58.10108,eye closed,,,Not looking at Target
180,0.01672024,57.97598,eye closed,,,Not looking at Target
181,0.01699296,57.8633,eye closed,,,Not looking at Target
182,0.01599456,57.78915,eye closed,,,Not looking at Target
183,0.01655776,57.7643,eye closed,,,Not looking at Target
184,0.01656664,57.72783,eye closed,,,Not looking at Target
185,0.01686121,57.67751,eye closed,,,Not looking at Target
186,0.01627241,57.62554,eye closed,,,Not looking at Target
187,0.01656664,57.56379,eye closed,,,Not looking at Target
188,0.01656698,57.49066,eye closed,,,Not looking at Target
189,0.01657142,57.39185,eye closed,,,Not looking at Target
190,0.01701174,57.2517,eye closed,,,Not looking at Target
191,0.0161171,57.08508,eye closed,,,Not looking at Target
192,0.01687179,56.9344,eye closed,,,Not looking at Target
193,0.01698375,56.78209,eye closed,,,Not looking at Target
194,0.01599627,56.66162,eye closed,,,Not looking at Target
195,0.0170131,56.59149,eye closed,,,Not looking at Target
196,0.01597204,56.59108,eye closed,,,Not looking at Target
197,0.01656254,56.58036,eye closed,,,Not looking at Target
198,0.01656698,56.52638,eye closed,,,Not looking at Target
199,0.0165663,56.43529,eye closed,,,Not looking at Target
200,0.01656664,56.23185,eye closed,,,Not looking at Target
201,0.01672365,55.89993,eye closed,,,Not looking at Target
202,0.01699433,55.49683,eye closed,,,Not looking at Target
203,0.01598535,55.01315,eye closed,,,Not looking at Target
