ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
269,0.01656593,68.27021,70.30912,,,Not looking at Target
270,0.01665434,68.19024,70.24474,,,Not looking at Target
271,0.01700113,68.09132,70.3598,,,Not looking at Target
272,0.01604574,67.98319,69.58861,,,Not looking at Target
273,0.01656662,67.89357,69.52227,,,Not looking at Target
274,0.01656593,67.85177,69.47655,,,Not looking at Target
275,0.01656696,67.84042,69.47454,,,Not looking at Target
276,0.01656627,67.8253,69.48513,,,Not looking at Target
277,0.01656764,67.79989,69.47255,,,Not looking at Target
278,0.01656593,67.74297,69.49472,,,Not looking at Target
279,0.01680623,67.5948,69.4425,,,Not looking at Target
280,0.01632768,67.54797,69.39767,,,Not looking at Target
281,0.01656593,67.46787,69.39694,,,Not looking at Target
282,0.0165673,67.46555,69.452,,,Not looking at Target
283,0.01656662,67.47527,69.53565,,,Not looking at Target
284,0.01656764,67.58972,69.57323,,,Not looking at Target
285,0.01675025,67.76965,68.43568,,,Not looking at Target
286,0.01647309,eye closed,eye closed,,,Not looking at Target
287,0.0164765,eye closed,eye closed,,,Not looking at Target
288,0.01656627,eye closed,eye closed,,,Not looking at Target
289,0.01689566,eye closed,eye closed,,,Not looking at Target
290,0.0169711,eye closed,eye closed,,,Not looking at Target
291,0.01595495,eye closed,eye closed,,,Not looking at Target
292,0.01644476,eye closed,eye closed,,,Not looking at Target
293,0.01656627,eye closed,eye closed,,,Not looking at Target
294,0.0169059,eye closed,eye closed,,,Not looking at Target
295,0.01622699,71.15437,74.56222,,,Not looking at Target
296,0.01656662,70.84736,74.64102,,,Looking at Target
297,0.01712777,70.31642,74.69708,,,Looking at Target
298,0.01600546,70.41974,74.71151,,,Looking at Target
299,0.0165673,70.44558,74.74197,,,Looking at Target
300,0.01656627,70.44732,74.91211,,,Looking at Target
301,0.01725952,70.45847,75.03888,,,Looking at Target
302,0.01596826,70.77573,75.03851,,,Looking at Target
303,0.01697656,70.80711,75.02562,,,Looking at Target
304,0.01606349,70.83998,75.01686,,,Looking at Target
305,0.01656559,70.86593,75.03751,,,Looking at Target
306,0.01679053,70.88004,74.98101,,,Looking at Target
307,0.016512,70.86006,74.88467,,,Looking at Target
308,0.01695198,70.75299,74.47671,,,Looking at Target
309,0.01601263,67.86874,71.75712,,,Looking at Target
310,0.0165673,68.07542,71.67416,,,Looking at Target
311,0.01685129,68.3068,71.46758,,,Looking at Target
312,0.0164608,68.29109,71.48745,,,Looking at Target
313,0.01646012,68.43599,71.65079,,,Looking at Target
314,0.01649528,68.52144,71.63995,,,Looking at Target
315,0.01696222,68.61891,71.60107,,,Looking at Target
316,0.01699328,68.64633,71.55837,,,Looking at Target
317,0.01574264,68.59403,71.51561,,,Looking at Target
318,0.01667448,68.53314,71.45702,,,Looking at Target
319,0.01699226,68.44603,71.3905,,,Looking at Target
320,0.01603345,68.35027,71.30422,,,Looking at Target
321,0.01656866,68.28476,71.24482,,,Looking at Target
322,0.01656491,68.19106,71.17133,,,Looking at Target
323,0.01671919,68.1046,71.1014,,,Looking at Target
324,0.01641404,67.99037,71.01954,,,Looking at Target
325,0.01656627,67.8343,70.94579,,,Looking at Target
326,0.0165673,67.76633,70.8788,,,Looking at Target
327,0.01656593,67.70397,70.84888,,,Looking at Target
328,0.0165673,67.6983,70.93127,,,Looking at Target
329,0.01664683,67.69682,70.95926,,,Looking at Target
330,0.01697383,67.73827,70.98299,,,Looking at Target
331,0.01607851,67.80537,71.04914,,,Looking at Target
332,0.01686733,67.88294,71.08218,,,Looking at Target
333,0.01626761,67.92057,71.12804,,,Looking at Target
334,0.01656627,67.94962,71.15689,,,Looking at Target
335,0.0165871,67.99579,71.23017,,,Looking at Target
336,0.01700113,67.99554,71.18993,,,Looking at Target
337,0.01644544,67.99686,71.18743,TRUE,0,Looking at Target
338,0.01623245,68.01585,71.25214,,,Not looking at Target
339,0.01721413,68.03581,71.326,,,Not looking at Target
340,0.01592047,68.04025,71.36265,,,Not looking at Target
341,0.01702912,67.99876,71.45727,,,Not looking at Target
342,0.01610309,67.98742,71.48154,,,Not looking at Target
343,0.01684344,67.97308,71.50609,,,Not looking at Target
344,0.01698953,67.95087,71.50266,,,Not looking at Target
345,0.01586791,67.9459,71.48055,,,Not looking at Target
346,0.0170578,67.9347,71.46264,,,Not looking at Target
347,0.0160751,67.91624,71.4047,,,Not looking at Target
348,0.01737182,67.89426,71.22069,,,Not looking at Target
349,0.01576039,67.87507,71.1742,,,Not looking at Target
350,0.0165673,67.84792,71.12569,,,Not looking at Target
351,0.01709329,67.8117,71.09203,,,Not looking at Target
352,0.0160396,67.75526,71.04933,,,Not looking at Target
353,0.01740903,67.6993,71.01669,,,Not looking at Target
354,0.01572455,65.12418,68.5406,,,Not looking at Target
355,0.01722198,59.0146,61.09731,,,Not looking at Target
356,0.01597406,54.62898,52.31178,,,Not looking at Target
357,0.01650381,48.68628,46.53431,,,Not looking at Target
358,0.01656696,47.88025,45.94441,,,Looking at Target
359,0.01656696,47.6681,44.73587,,,Looking at Target
360,0.0165673,47.68891,44.71156,,,Looking at Target
361,0.0166639,47.7899,44.59407,,,Looking at Target
362,0.01646899,47.87843,44.66154,,,Looking at Target
363,0.01656593,47.91618,44.67571,,,Looking at Target
364,0.01738172,48.0296,44.71742,,,Looking at Target
365,0.01575254,48.05592,44.72319,,,Looking at Target
366,0.01669769,48.05838,44.76022,,,Looking at Target
367,0.01643657,48.06106,44.79908,,,Looking at Target
368,0.01656627,48.00515,44.84469,,,Looking at Target
369,0.01741551,48.0115,44.97754,,,Looking at Target
370,0.01597782,47.92344,45.05535,,,Looking at Target
371,0.01697349,47.96117,45.13736,,,Looking at Target
372,0.01597133,48.03286,45.22374,,,Looking at Target
373,0.01649528,48.11453,45.31973,,,Looking at Target
374,0.01656627,48.1986,45.41463,,,Looking at Target
375,0.01685982,48.15394,45.40656,,,Looking at Target
376,0.01627341,48.11693,45.45844,,,Looking at Target
377,0.01656627,48.07923,45.32991,,,Looking at Target
378,0.01657856,48.05934,45.20675,,,Looking at Target
379,0.0169786,48.08576,45.21217,,,Looking at Target
380,0.01614268,48.11727,45.1545,,,Looking at Target
381,0.01679599,48.08848,45.13464,,,Looking at Target
382,0.01633622,48.05798,45.1271,,,Looking at Target
383,0.01711377,48.04803,45.11248,,,Looking at Target
384,0.01602151,47.93823,45.11192,,,Looking at Target
385,0.01656525,47.94034,44.99942,,,Looking at Target
386,0.01656696,47.91118,45.02399,,,Looking at Target
387,0.0172387,47.88261,45.04145,,,Looking at Target
388,0.01597474,47.91592,45.04288,,,Looking at Target
389,0.01648674,47.94221,45.07398,,,Looking at Target
390,0.01696495,47.95905,45.12032,,,Looking at Target
391,0.01646831,48.00075,45.21255,,,Looking at Target
392,0.01647548,48.04428,45.31205,,,Looking at Target
393,0.01647616,48.1161,45.43698,,,Looking at Target
394,0.01696973,48.17755,45.5064,,,Looking at Target
395,0.01604574,48.21878,45.56237,,,Looking at Target
396,0.01656662,48.25264,45.78414,,,Looking at Target
397,0.0165673,48.27929,45.82964,,,Looking at Target
398,0.01671237,48.2869,45.84063,,,Looking at Target
399,0.01641984,48.28474,45.79297,TRUE,0,Looking at Target
400,0.01656696,48.24813,45.65547,,,Not looking at Target
401,0.01693287,48.18985,45.59916,,,Not looking at Target
402,0.01620037,48.13321,45.61039,,,Not looking at Target
403,0.01674855,48.08513,45.52783,,,Not looking at Target
404,0.01638469,48.02859,45.49761,,,Not looking at Target
405,0.01656662,47.93256,45.48038,,,Not looking at Target
406,0.01656627,47.86115,45.48494,,,Not looking at Target
407,0.01656627,47.80509,45.50307,,,Not looking at Target
408,0.01680862,47.77949,45.5792,,,Not looking at Target
409,0.01632495,47.7746,45.61096,,,Not looking at Target
410,0.01709363,47.77372,45.65673,,,Not looking at Target
411,0.01697826,47.74901,45.69611,,,Not looking at Target
412,0.01596894,47.69997,45.7372,,,Not looking at Target
413,0.01622562,47.66492,45.72348,,,Not looking at Target
414,0.01672431,47.55544,45.64631,,,Not looking at Target
415,0.01647241,42.86605,41.02896,,,Not looking at Target
416,0.01650381,39.64959,39.26195,,,Looking at Target
417,0.01656696,39.67787,39.11745,,,Looking at Target
418,0.01656627,39.64182,38.73833,,,Looking at Target
419,0.01656662,39.62245,38.67104,,,Looking at Target
420,0.01668506,39.6496,38.68962,,,Looking at Target
421,0.01696529,39.75769,38.69096,,,Looking at Target
422,0.01605018,39.80091,38.77606,,,Looking at Target
423,0.01656627,39.86334,38.92683,,,Looking at Target
424,0.01656662,39.96959,38.96851,,,Looking at Target
425,0.01656662,40.06134,39.1595,,,Looking at Target
426,0.01656696,40.10981,39.24883,,,Looking at Target
427,0.01704721,40.22252,39.43913,,,Looking at Target
428,0.01643793,40.29871,39.50382,,,Looking at Target
429,0.01621572,40.35299,39.49391,,,Looking at Target
430,0.01656525,40.36769,39.47472,,,Looking at Target
431,0.01656696,40.31035,39.41505,,,Looking at Target
432,0.0165673,40.2963,39.37506,,,Looking at Target
433,0.01656627,40.26575,39.28068,,,Looking at Target
434,0.01656866,40.25287,39.27378,,,Looking at Target
