ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
293,0.0264305,54.79365,57.88288,,,
294,0.0266964,55.55109,58.5124,,,
295,0.02280417,56.3937,59.15874,,,
296,0.02411251,56.89562,59.47353,,,
297,0.02592874,57.19848,59.84466,,,
298,0.032069,57.63547,59.73862,,,
299,0.03388558,57.64361,59.11062,,,
300,0.02823787,57.64141,59.93382,,,
301,0.02286254,57.49718,59.7495,,,
302,0.05033685,57.20575,59.02048,,,
303,0.04500145,56.18296,56.4763,,,
304,0.02752619,54.77481,53.91756,,,
305,0.02597005,61.35909,62.22517,,,
306,0.02701896,71.86777,70.36465,,,
307,0.02233689,73.36311,76.58753,,,
308,0.02659025,eye closed,81.06232,,,
309,0.03050944,eye closed,68.25846,,,
310,0.03174405,eye closed,61.30648,,,
311,0.03158567,eye closed,61.52632,,,
312,0.02819145,eye closed,49.05172,,,
313,0.03568509,eye closed,42.85416,,,
314,0.03753478,eye closed,29.96561,,,
315,0.04664054,eye closed,16.38514,,,
316,0.06073012,eye closed,8.607724,,,
317,0.0674858,30.61211,39.12559,,,
318,0.08186825,49.23103,48.87643,,,
319,0.07583005,68.98826,67.84032,,,
320,0.0729765,77.95311,76.57897,,,
321,0.07855219,81.6355,80.89233,,,
322,0.07669123,82.7905,81.759,,,
323,0.07215149,82.75628,80.8611,,,
324,0.08044317,67.85086,67.63264,,,
325,0.07479785,68.40402,68.16262,,,
326,0.07105718,69.18579,69.03054,,,
327,0.07492483,69.67411,69.36705,,,
328,0.07436402,70.33921,69.3353,,,
329,0.08237342,70.96674,69.7889,,,
330,0.07606762,eye closed,eye closed,,,
331,0.1011543,68.65343,67.80373,,,
332,0.07678919,66.72025,66.30155,,,
333,0.07605703,72.25221,73.5687,,,
334,0.07577202,68.87748,68.10447,,,
335,0.08666672,62.31601,62.71429,,,
336,0.07562559,61.65091,61.56683,,,
337,0.07495316,66.89501,68.21222,,,
338,0.07781627,76.05228,74.24857,,,
339,0.07360626,eye closed,82.97646,,,
340,0.07980556,eye closed,eye closed,,,
341,0.09091632,77.87984,77.82469,,,
342,0.07878259,73.64945,68.35445,,,
343,0.07904848,68.38898,64.8888,,,
344,0.09479933,eye closed,eye closed,,,
345,0.08046638,eye closed,eye closed,,,
346,0.09444845,39.17559,eye closed,,,
347,0.08599463,39.99858,38.13274,,,
348,0.07719368,38.18375,36.41977,,,
349,0.07938436,37.80633,36.69865,,,
350,0.07236005,eye closed,40.9101,,,
351,0.08150848,eye closed,eye closed,,,
352,0.06640752,eye closed,eye closed,,,
353,0.05247872,eye closed,43.36418,,,
354,0.04729898,15.11218,19.55847,,,
355,0.04222982,5.761841,eye closed,,,
356,0.03714429,17.32143,17.8131,,,
357,0.03231681,29.31297,30.02232,,,
358,0.03289093,27.65856,28.04609,,,
359,0.03796042,21.64561,22.0508,,,
360,0.02970356,17.96036,18.43672,,,
361,0.02692032,25.3116,27.01215,,,
362,0.06071544,38.13289,42.94361,,,
363,0.02769207,50.15006,55.14613,,,
364,0.02718349,56.38648,61.72999,,,
365,0.02669333,60.04404,67.18896,,,
366,0.02566353,eye closed,eye closed,,,
367,0.02397495,eye closed,eye closed,,,
368,0.02855121,54.47306,59.19521,,,
369,0.02786342,51.28416,56.95391,,,
370,0.03026983,52.26913,57.41588,,,
371,0.03639062,52.90306,57.86375,,,
372,0.02638135,52.99375,57.97609,,,
